disease_name,drug_name,evidence_pmids,evidence_level,known_mechanism,docking_target,docking_target_name,docking_reason,source_note
Alzheimer disease,Donepezil,10803860;9428950,clinical/approved,"Selective acetylcholinesterase inhibitor used for symptomatic treatment of Alzheimer disease; increases synaptic acetylcholine.",ACHE,acetylcholinesterase,"approved target mechanism for Alzheimer disease","PubMed reviews: PMID 10803860, 9428950"
Alzheimer disease,Memantine,16906789;12973747,clinical/approved,"Uncompetitive NMDA receptor antagonist used for moderate-to-severe Alzheimer disease; reduces glutamatergic excitotoxicity.",GRIN1,NMDA receptor,"approved target mechanism for Alzheimer disease","PubMed reviews: PMID 16906789, 12973747"
Alzheimer disease,Rapamycin,20376313;23853042,preclinical/literature,"mTOR inhibition by rapamycin has been reported to reduce Alzheimer-like pathology and cognitive deficits in animal models.",MTOR,mechanistic target of rapamycin,"literature-supported docking target","PubMed: PMID 20376313, 23853042"
Alzheimer disease,Sirolimus,20376313;23853042,preclinical/literature,"Sirolimus/rapamycin inhibits mTOR, a pathway implicated in Alzheimer-like pathology and autophagy regulation.",MTOR,mechanistic target of rapamycin,"literature-supported docking target","PubMed: PMID 20376313, 23853042"
Lung cancer,Gefitinib,18458038;20573926,clinical/approved,"EGFR tyrosine kinase inhibitor with clinical activity in EGFR-mutant non-small-cell lung cancer.",EGFR,epidermal growth factor receptor,"approved target mechanism for lung cancer","PubMed: PMID 18458038, 20573926"
Lung cancer,Erlotinib,20088749;16014883,clinical/approved,"Oral EGFR tyrosine kinase inhibitor approved for non-small-cell lung cancer; EGFR mutations predict responsiveness.",EGFR,epidermal growth factor receptor,"approved target mechanism for lung cancer","PubMed: PMID 20088749, 16014883"
Prostate cancer,Enzalutamide,23765603;30848157,clinical/approved,"Androgen receptor signaling inhibitor used in castration-resistant prostate cancer.",AR,androgen receptor,"approved target mechanism for prostate cancer","PubMed: PMID 23765603, 30848157"
Prostate cancer,ABIRATERONE,19470933;18645193,clinical/approved,"Abiraterone inhibits CYP17A1-mediated androgen biosynthesis and is active in castration-resistant prostate cancer.",CYP17A1,cytochrome P450 17A1,"approved target mechanism for prostate cancer","PubMed: PMID 19470933, 18645193"
Prostate cancer,Abiraterone acetate,19470933;18645193,clinical/approved,"Abiraterone acetate is converted to abiraterone, an inhibitor of CYP17A1-mediated androgen biosynthesis.",CYP17A1,cytochrome P450 17A1,"approved target mechanism for prostate cancer","PubMed: PMID 19470933, 18645193"
Coronary heart disease,Aspirin,12512736;22951204,clinical/approved,"Aspirin irreversibly inhibits platelet cyclooxygenase activity, reducing thromboxane-mediated platelet aggregation in coronary artery disease.",PTGS1,cyclooxygenase-1,"approved antiplatelet mechanism","PubMed: PMID 12512736, 22951204"
