DiseaseIndex,DiseaseID,Disease_Name,target_id,gene,ensembl_id,target_name,score,source,mapped_disease_id,mapped_disease_name
1,DIS02PWG,Rosacea,MMP1,MMP1,ENSG00000196611,matrix metallopeptidase 1,0.5801549012404528,OpenTargets,MONDO_0006604,rosacea
1,DIS02PWG,Rosacea,MMP7,MMP7,ENSG00000137673,matrix metallopeptidase 7,0.5775275623907933,OpenTargets,MONDO_0006604,rosacea
1,DIS02PWG,Rosacea,MMP13,MMP13,ENSG00000137745,matrix metallopeptidase 13,0.5758088768273698,OpenTargets,MONDO_0006604,rosacea
1,DIS02PWG,Rosacea,MMP8,MMP8,ENSG00000118113,matrix metallopeptidase 8,0.5758088768273698,OpenTargets,MONDO_0006604,rosacea
1,DIS02PWG,Rosacea,ADRA2A,ADRA2A,ENSG00000150594,adrenoceptor alpha 2A,0.5399167851849538,OpenTargets,MONDO_0006604,rosacea
1,DIS02PWG,Rosacea,ADRA2B,ADRA2B,ENSG00000274286,adrenoceptor alpha 2B,0.5399167851849538,OpenTargets,MONDO_0006604,rosacea
1,DIS02PWG,Rosacea,ADRA2C,ADRA2C,ENSG00000184160,adrenoceptor alpha 2C,0.5399167851849538,OpenTargets,MONDO_0006604,rosacea
1,DIS02PWG,Rosacea,ADRA1D,ADRA1D,ENSG00000171873,adrenoceptor alpha 1D,0.5068274401646956,OpenTargets,MONDO_0006604,rosacea
1,DIS02PWG,Rosacea,ADRA1A,ADRA1A,ENSG00000120907,adrenoceptor alpha 1A,0.5068274401646956,OpenTargets,MONDO_0006604,rosacea
1,DIS02PWG,Rosacea,ADRA1B,ADRA1B,ENSG00000170214,adrenoceptor alpha 1B,0.5068274401646956,OpenTargets,MONDO_0006604,rosacea
2,DIS0301E,Chronic myelogenous leukaemia,ABL1,ABL1,ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase",0.836114912178328,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
2,DIS0301E,Chronic myelogenous leukaemia,BCR,BCR,ENSG00000186716,BCR activator of RhoGEF and GTPase,0.8289676373619297,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
2,DIS0301E,Chronic myelogenous leukaemia,KIT,KIT,ENSG00000157404,"KIT proto-oncogene, receptor tyrosine kinase",0.7098719942163161,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
2,DIS0301E,Chronic myelogenous leukaemia,SETBP1,SETBP1,ENSG00000152217,SET binding protein 1,0.6777497893566422,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
2,DIS0301E,Chronic myelogenous leukaemia,PDGFRB,PDGFRB,ENSG00000113721,platelet derived growth factor receptor beta,0.6520320880802597,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
2,DIS0301E,Chronic myelogenous leukaemia,TET2,TET2,ENSG00000168769,tet methylcytosine dioxygenase 2,0.6367469194074407,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
2,DIS0301E,Chronic myelogenous leukaemia,FYN,FYN,ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase",0.6032153382064515,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
2,DIS0301E,Chronic myelogenous leukaemia,LYN,LYN,ENSG00000254087,"LYN proto-oncogene, Src family tyrosine kinase",0.6011695514765368,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
2,DIS0301E,Chronic myelogenous leukaemia,BLK,BLK,ENSG00000136573,"BLK proto-oncogene, Src family tyrosine kinase",0.5988800886458684,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
2,DIS0301E,Chronic myelogenous leukaemia,SRC,SRC,ENSG00000197122,"SRC proto-oncogene, non-receptor tyrosine kinase",0.5897001131432105,OpenTargets,MONDO_0011996,"chronic myelogenous leukemia, BCR-ABL1 positive"
3,DIS04U9T,Streptococcus infection,TOP2B,TOP2B,ENSG00000077097,DNA topoisomerase II beta,0.3695798546847018,OpenTargets,MONDO_0005114,pneumococcal infection
3,DIS04U9T,Streptococcus infection,TOP2A,TOP2A,ENSG00000131747,DNA topoisomerase II alpha,0.3695798546847018,OpenTargets,MONDO_0005114,pneumococcal infection
3,DIS04U9T,Streptococcus infection,CCDC88C,CCDC88C,ENSG00000015133,coiled-coil and HOOK domain protein 88C,0.30966084276903566,OpenTargets,MONDO_0005114,pneumococcal infection
3,DIS04U9T,Streptococcus infection,BCHE,BCHE,ENSG00000114200,butyrylcholinesterase,0.2998256011271072,OpenTargets,MONDO_0005114,pneumococcal infection
3,DIS04U9T,Streptococcus infection,OSR1,OSR1,ENSG00000143867,odd-skipped related transcription factor 1,0.29936362630875135,OpenTargets,MONDO_0005114,pneumococcal infection
3,DIS04U9T,Streptococcus infection,STK32B,STK32B,ENSG00000152953,serine/threonine kinase 32B,0.26573372439203513,OpenTargets,MONDO_0005114,pneumococcal infection
3,DIS04U9T,Streptococcus infection,CPQ,CPQ,ENSG00000104324,carboxypeptidase Q,0.26334389942374603,OpenTargets,MONDO_0005114,pneumococcal infection
3,DIS04U9T,Streptococcus infection,MYO10,MYO10,ENSG00000145555,myosin X,0.26191989972401136,OpenTargets,MONDO_0005114,pneumococcal infection
3,DIS04U9T,Streptococcus infection,SYT9,SYT9,ENSG00000170743,synaptotagmin 9,0.26043518899334583,OpenTargets,MONDO_0005114,pneumococcal infection
3,DIS04U9T,Streptococcus infection,AGBL4,AGBL4,ENSG00000186094,AGBL carboxypeptidase 4,0.2592989939449583,OpenTargets,MONDO_0005114,pneumococcal infection
4,DIS05URM,Osteoarthritis,GDF5,GDF5,ENSG00000125965,growth differentiation factor 5,0.6385890510492749,OpenTargets,MONDO_0005178,osteoarthritis
