DrugIndex,DrugID,Drug_Name,target_id,gene,uniprot,target_name,action_type,source,organism,moa
2,DM02A65,Temazepam,GABRA1,GABRA1,P14867|P18507|P47870,GABA-A receptor alpha-1/beta-2/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
2,DM02A65,Temazepam,GABRB2,GABRB2,P14867|P18507|P47870,GABA-A receptor alpha-1/beta-2/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
2,DM02A65,Temazepam,GABRG2,GABRG2,P14867|P18507|P47870,GABA-A receptor alpha-1/beta-2/gamma-2,POSITIVE ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,1.0
2,DM02A65,Temazepam,NR1I3,NR1I3,Q14994,Nuclear receptor subfamily 1 group I member 3,,DrugCentral,Homo sapiens,
3,DM02AWV,Tolbutamide,ABCC8,ABCC8,Q09428|Q14654,"Sulfonylurea receptor 1, Kir6.2",BLOCKER,DrugCentral,Homo sapiens,1.0
3,DM02AWV,Tolbutamide,KCNJ11,KCNJ11,Q09428|Q14654,"Sulfonylurea receptor 1, Kir6.2",BLOCKER,DrugCentral,Homo sapiens,1.0
7,DM04LR2,Floxuridine,TYMS,TYMS,P04818,Thymidylate synthase,INHIBITOR,DrugCentral,Homo sapiens,1.0
8,DM053KT,Aprepitant,CYP3A4,CYP3A4,P08684,Cytochrome P450 3A4,,DrugCentral,Homo sapiens,
8,DM053KT,Aprepitant,TACR1,TACR1,P25103,Substance-P receptor,ANTAGONIST,DrugCentral,Homo sapiens,1.0
8,DM053KT,Aprepitant,TACR3,TACR3,P29371,Neuromedin-K receptor,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,DPP4,DPP4,P27487,Dipeptidyl peptidase 4,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,F2,F2,P00734,Prothrombin,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,MAOA,MAOA,P21397,Amine oxidase [flavin-containing] A,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,MAOB,MAOB,P27338,Amine oxidase [flavin-containing] B,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,NFKB1,NFKB1,P19838,Nuclear factor NF-kappa-B p105 subunit,,DrugCentral,Homo sapiens,
10,DM05DR0,Sitosterol,POLB,POLB,P06746,DNA polymerase beta,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,AKR1C1,AKR1C1,Q04828,Aldo-keto reductase family 1 member C1,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,AKR1C2,AKR1C2,P52895,Aldo-keto reductase family 1 member C2,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,AKR1C3,AKR1C3,P42330,Aldo-keto reductase family 1 member C3,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,ALOX5,ALOX5,P09917,Arachidonate 5-lipoxygenase,INHIBITOR,DrugCentral,Homo sapiens,1.0
11,DM05FXR,Meclofenamic acid,AR,AR,P10275,Androgen receptor,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,FABP2,FABP2,P12104,"Fatty acid-binding protein, intestinal",,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,MAPK1,MAPK1,P28482,Mitogen-activated protein kinase 1,,DrugCentral,Homo sapiens,
11,DM05FXR,Meclofenamic acid,PTGS1,PTGS1,P23219,Prostaglandin G/H synthase 1,INHIBITOR,DrugCentral,Homo sapiens,1.0
11,DM05FXR,Meclofenamic acid,PTGS2,PTGS2,P35354,Prostaglandin G/H synthase 2,INHIBITOR,DrugCentral,Homo sapiens,1.0
11,DM05FXR,Meclofenamic acid,TTR,TTR,P02766,Transthyretin,,DrugCentral,Homo sapiens,
14,DM0659E,Cannabidiol,CNR1,CNR1,P21554,Cannabinoid receptor 1,,DrugCentral,Homo sapiens,
14,DM0659E,Cannabidiol,CNR2,CNR2,P34972,Cannabinoid receptor 2,,DrugCentral,Homo sapiens,
14,DM0659E,Cannabidiol,GPR18,GPR18,Q14330,N-arachidonyl glycine receptor,AGONIST,DrugCentral,Homo sapiens,
14,DM0659E,Cannabidiol,GPR55,GPR55,Q9Y2T6,G-protein coupled receptor 55,ANTAGONIST,DrugCentral,Homo sapiens,1.0
14,DM0659E,Cannabidiol,TRPV1,TRPV1,Q8NER1,Transient receptor potential cation channel subfamily V member 1,INHIBITOR,DrugCentral,Homo sapiens,1.0
14,DM0659E,Cannabidiol,TRPV2,TRPV2,Q9Y5S1,Transient receptor potential cation channel subfamily V member 2,ACTIVATOR,DrugCentral,Homo sapiens,
15,DM06HG5,Levomethadyl Acetate,KCNH2,KCNH2,Q12809,Potassium voltage-gated channel subfamily H member 2,,DrugCentral,Homo sapiens,
15,DM06HG5,Levomethadyl Acetate,OPRM1,OPRM1,P35372,Mu-type opioid receptor,AGONIST,DrugCentral,Homo sapiens,1.0
17,DM07K2I,Eprosartan,AGTR1,AGTR1,P30556,Type-1 angiotensin II receptor,ANTAGONIST,DrugCentral,Homo sapiens,1.0
18,DM07TX3,Cefotetan,COMT,COMT,P21964,Catechol O-methyltransferase,,DrugCentral,Homo sapiens,
18,DM07TX3,Cefotetan,MMP1,MMP1,P03956,Interstitial collagenase,,DrugCentral,Homo sapiens,
18,DM07TX3,Cefotetan,MMP2,MMP2,P08253,72 kDa type IV collagenase,,DrugCentral,Homo sapiens,
18,DM07TX3,Cefotetan,MMP9,MMP9,P14780,Matrix metalloproteinase-9,,DrugCentral,Homo sapiens,
18,DM07TX3,Cefotetan,PTGS2,PTGS2,P35354,Prostaglandin G/H synthase 2,,DrugCentral,Homo sapiens,
19,DM07U2A,Estradiol Acetate,ESR1,ESR1,P03372,Estrogen receptor,AGONIST,DrugCentral,Homo sapiens,1.0
20,DM08E9O,Diazepam,ADORA3,ADORA3,P0DMS8,Adenosine receptor A3,,DrugCentral,Homo sapiens,
20,DM08E9O,Diazepam,ADRA1A,ADRA1A,P35348,Alpha-1A adrenergic receptor,ALLOSTERIC MODULATOR,DrugCentral,Homo sapiens,
20,DM08E9O,Diazepam,AKR1C1,AKR1C1,Q04828,Aldo-keto reductase family 1 member C1,,DrugCentral,Homo sapiens,
