source,target,string_source_id,string_target_id,score,source_db
PSMD3,PSMD2,9606.ENSP00000264639,9606.ENSP00000310129,0.999,STRING
NDUFA12,MT-ND3,9606.ENSP00000330737,9606.ENSP00000355206,0.999,STRING
NDUFA12,MT-ND5,9606.ENSP00000330737,9606.ENSP00000354813,0.999,STRING
NDUFA12,NDUFC1,9606.ENSP00000330737,9606.ENSP00000441126,0.999,STRING
NDUFA12,NDUFS1,9606.ENSP00000330737,9606.ENSP00000392709,0.999,STRING
NDUFA12,NDUFAB1,9606.ENSP00000330737,9606.ENSP00000458770,0.999,STRING
NDUFA12,NDUFB3,9606.ENSP00000330737,9606.ENSP00000407336,0.999,STRING
NDUFA12,NDUFA13,9606.ENSP00000330737,9606.ENSP00000423673,0.999,STRING
BMP4,BMPR2,9606.ENSP00000245451,9606.ENSP00000363708,0.999,STRING
NDUFA12,NDUFA6,9606.ENSP00000330737,9606.ENSP00000482543,0.999,STRING
BMP4,BMPR1B,9606.ENSP00000245451,9606.ENSP00000401907,0.999,STRING
NDUFA12,NDUFA4,9606.ENSP00000330737,9606.ENSP00000339720,0.999,STRING
NDUFA12,MT-ND4,9606.ENSP00000330737,9606.ENSP00000354961,0.999,STRING
NDUFA9,MT-ND3,9606.ENSP00000266544,9606.ENSP00000355206,0.999,STRING
LEPR,JAK2,9606.ENSP00000330393,9606.ENSP00000371067,0.999,STRING
TBK1,DDX3X,9606.ENSP00000329967,9606.ENSP00000494040,0.999,STRING
NDUFA12,NDUFA5,9606.ENSP00000330737,9606.ENSP00000417142,0.999,STRING
NDUFA12,MT-ND2,9606.ENSP00000330737,9606.ENSP00000355046,0.999,STRING
SMO,SHH,9606.ENSP00000249373,9606.ENSP00000297261,0.999,STRING
NDUFA12,NDUFS5,9606.ENSP00000330737,9606.ENSP00000362058,0.999,STRING
GRIN2A,GRIN1,9606.ENSP00000332549,9606.ENSP00000360608,0.999,STRING
CD86,CTLA4,9606.ENSP00000332049,9606.ENSP00000497102,0.999,STRING
NDUFA9,MT-ND4,9606.ENSP00000266544,9606.ENSP00000354961,0.999,STRING
CALCA,CALCR,9606.ENSP00000331746,9606.ENSP00000352561,0.999,STRING
PSMD3,PSMA5,9606.ENSP00000264639,9606.ENSP00000271308,0.999,STRING
NDUFA12,NDUFV3,9606.ENSP00000330737,9606.ENSP00000346196,0.999,STRING
NDUFA12,NDUFS2,9606.ENSP00000330737,9606.ENSP00000356972,0.999,STRING
NDUFA12,MT-ND1,9606.ENSP00000330737,9606.ENSP00000354687,0.999,STRING
NDUFA12,NDUFA8,9606.ENSP00000330737,9606.ENSP00000362873,0.999,STRING
NDUFA12,NDUFB6,9606.ENSP00000330737,9606.ENSP00000369176,0.999,STRING
NDUFA12,NDUFA11,9606.ENSP00000330737,9606.ENSP00000389160,0.999,STRING
NDUFA12,NDUFA1,9606.ENSP00000330737,9606.ENSP00000360492,0.999,STRING
NDUFA12,NDUFA3,9606.ENSP00000330737,9606.ENSP00000418438,0.999,STRING
NDUFA12,NDUFV1,9606.ENSP00000330737,9606.ENSP00000497587,0.999,STRING
C3,CFH,9606.ENSP00000245907,9606.ENSP00000356399,0.999,STRING
SMO,PTCH1,9606.ENSP00000249373,9606.ENSP00000332353,0.999,STRING
PSMD2,PSMC5,9606.ENSP00000310129,9606.ENSP00000310572,0.999,STRING
NDUFA2,NDUFS5,9606.ENSP00000252102,9606.ENSP00000362058,0.999,STRING
NDUFV2,NDUFV3,9606.ENSP00000327268,9606.ENSP00000346196,0.999,STRING
NDUFA2,NDUFB1,9606.ENSP00000252102,9606.ENSP00000483888,0.999,STRING
